Date,Open,High,Low,Close,Volume,Adj Close
2006-05-17,128.669998,129.100006,126.769997,126.849998,144789500,104.346961
2006-05-16,129.759995,130.00,129.009995,129.309998,62137600,106.370559
2006-05-15,128.789993,129.740005,128.610001,129.50,84029300,106.526855
2006-05-12,130.360001,130.720001,129.190002,129.240005,91726500,106.312983
2006-05-11,132.509995,132.550003,130.520004,130.949997,80626900,107.719625
2006-05-10,132.410004,132.75,131.889999,132.550003,64378200,109.035791
2006-05-09,132.419998,132.770004,132.309998,132.619995,29864000,109.093367
2006-05-08,132.509995,132.770004,132.360001,132.360001,30016700,108.879495
2006-05-05,132.050003,132.800003,131.850006,132.520004,62588200,109.011114
2006-05-04,131.080002,131.619995,130.970001,131.360001,42921400,108.056894
2006-05-03,131.149994,131.320007,130.449997,130.889999,60821300,107.67027
2006-05-02,131.009995,131.460007,130.740005,131.380005,49063500,108.07335
2006-05-01,131.470001,131.800003,130.320007,130.399994,64990300,107.267191
2006-04-28,130.789993,131.75,130.710007,131.470001,55854400,108.147381
2006-04-27,129.899994,131.630005,129.589996,131.029999,124478600,107.785434
2006-04-26,130.50,131.139999,130.300003,130.399994,67262400,107.267191
2006-04-25,131.039993,131.119995,129.919998,130.369995,84359800,107.242514
2006-04-24,130.889999,131.070007,130.380005,130.910004,52546400,107.686726
2006-04-21,131.690002,131.789993,130.619995,131.149994,72342600,107.884142
2006-04-20,131.00,131.860001,130.600006,131.130005,86005500,107.867699
2006-04-19,130.75,131.070007,130.240005,130.949997,87269000,107.719625
2006-04-18,128.929993,130.940002,128.929993,130.699997,92531800,107.513974
2006-04-17,128.830002,129.309998,128.020004,128.660004,64167700,105.835873
2006-04-13,128.589996,129.25,128.309998,128.710007,51051800,105.877006
2006-04-12,128.770004,129.130005,128.610001,128.880005,43033700,106.016847
2006-04-11,129.850006,130.059998,128.25,128.639999,72799400,105.819418
2006-04-10,129.740005,130.080002,129.259995,129.740005,41496500,106.724284
2006-04-07,131.059998,131.399994,129.350006,129.539993,80180900,106.559754
2006-04-06,130.850006,131.210007,130.190002,130.869995,57906200,107.653815
2006-04-05,130.610001,131.279999,130.380005,131.009995,50607200,107.768979
2006-04-04,129.729996,130.729996,129.360001,130.559998,54809300,107.398811
2006-04-03,130.070007,130.869995,129.490005,129.729996,61624700,106.71605
2006-03-31,130.020004,130.240005,129.369995,129.830002,62925600,106.798315
2006-03-30,130.110001,130.979996,129.550003,129.800003,70571700,106.773638
2006-03-29,129.410004,130.50,129.289993,130.029999,61505700,106.962833
2006-03-28,129.929993,130.529999,129.050003,129.220001,82079900,106.296528
2006-03-27,130.029999,130.279999,129.740005,130.020004,32523000,106.954611
2006-03-24,129.990005,130.570007,129.740005,130.210007,43209200,107.110908
2006-03-23,130.259995,130.389999,129.660004,130.110001,46704200,107.028643
2006-03-22,129.509995,130.509995,129.449997,130.380005,51605700,107.250748
2006-03-21,130.369995,130.990005,129.449997,129.589996,87102700,106.600886
2006-03-20,130.639999,130.899994,130.210007,130.410004,45538500,107.275425
2006-03-17,130.679993,130.899994,130.380005,130.619995,47286800,107.448165
2006-03-16,131.009995,131.470001,130.839996,131.029999,65526400,107.358508
2006-03-15,130.149994,130.860001,129.850006,130.759995,53398900,107.137282
2006-03-14,128.710007,130.229996,128.610001,130.179993,69877300,106.662062
2006-03-13,128.839996,129.160004,128.529999,128.830002,45479100,105.555956
2006-03-10,127.709999,128.839996,127.440002,128.589996,60490800,105.35931
2006-03-09,128.279999,128.679993,127.379997,127.379997,56313600,104.367905
2006-03-08,127.699997,128.440002,127.18,128.240005,66692400,105.072547
2006-03-07,127.860001,128.059998,127.400002,127.970001,61780800,104.851321
2006-03-06,129.139999,129.179993,127.849998,128.169998,57478400,105.015187
2006-03-03,128.669998,130.070007,128.649994,128.759995,73402500,105.498596
2006-03-02,128.899994,129.419998,128.610001,129.360001,60642300,105.990207
2006-03-01,128.600006,129.490005,128.50,129.369995,48641600,105.998396
2006-02-28,129.199997,129.910004,128.130005,128.229996,74394800,105.064346
2006-02-27,129.399994,130.039993,129.279999,129.460007,35858600,106.072147
2006-02-24,129.110001,129.479996,128.759995,129.410004,36777400,106.031177
2006-02-23,129.270004,129.639999,128.279999,129.080002,43423200,105.760792
2006-02-22,128.770004,129.649994,128.649994,129.270004,42326700,105.916469
2006-02-21,129.110001,129.399994,128.289993,128.490005,46456300,105.277383
2006-02-17,129.050003,129.160004,128.580002,128.809998,40342600,105.539566
2006-02-16,128.339996,129.210007,128.179993,129.160004,61017900,105.826341
2006-02-15,127.68,128.320007,127.239998,128.199997,85471300,105.039766
2006-02-14,126.459999,128.029999,126.209999,127.75,90964400,104.671065
2006-02-13,126.599998,126.790001,125.949997,126.410004,52308700,103.573148
2006-02-10,126.43,127.129997,125.449997,126.639999,64508700,103.761593
2006-02-09,126.919998,127.599998,126.370003,126.410004,62023300,103.573148
2006-02-08,125.849998,128.100006,125.599998,126.620003,59422200,103.745209
2006-02-07,126.379997,126.660004,125.400002,125.480003,71208100,102.811159
2006-02-06,126.440002,126.800003,126.169998,126.599998,45511900,103.728819
2006-02-03,126.580002,128.389999,126.139999,126.269997,86040400,103.458434
2006-02-02,128.100006,128.139999,126.800003,126.900002,83626900,103.974624
2006-02-01,127.82,128.429993,127.720001,128.389999,63561000,105.195444
2006-01-31,128.320007,128.539993,127.489998,127.50,72937000,104.466229
2006-01-30,128.440002,128.809998,128.350006,128.440002,33709600,105.236413
2006-01-27,127.660004,128.660004,127.449997,128.539993,65771200,105.31834
2006-01-26,127.25,127.669998,126.760002,127.360001,71294000,104.351521
2006-01-25,127.040001,127.18,125.839996,126.660004,87747700,103.777984
2006-01-24,126.629997,127.150002,126.419998,126.550003,53008800,103.687855
2006-01-23,126.209999,126.82,126.129997,126.419998,67017400,103.581337
2006-01-20,128.279999,128.309998,125.970001,125.970001,114957800,103.212635
2006-01-19,128.130005,128.770004,127.809998,128.309998,81530400,105.129895
2006-01-18,127.580002,128.899994,127.160004,127.82,75067600,104.728418
2006-01-17,128.199997,128.419998,127.809998,128.330002,52066600,105.146285
2006-01-13,128.570007,128.899994,128.199997,128.679993,44856700,105.433047
2006-01-12,129.080002,129.279999,128.440002,128.800003,40509200,105.531377
2006-01-11,129.020004,129.440002,128.729996,129.309998,49598900,105.949238
2006-01-10,128.389999,128.979996,128.259995,128.899994,44960800,105.613304
2006-01-09,128.419998,129.059998,128.380005,128.770004,43527400,105.506798
2006-01-06,128.020004,128.580002,127.360001,128.440002,62885900,105.236413
2006-01-05,127.150002,127.589996,126.879997,127.379997,47307500,104.367905
2006-01-04,126.860001,127.489998,126.699997,127.300003,51899600,104.302363
2006-01-03,125.190002,127.00,124.389999,126.699997,73256700,103.810752
2005-12-30,124.800003,125.059998,124.360001,124.510002,44645600,102.016395
2005-12-29,125.720001,125.959999,125.059998,125.190002,32788900,102.573549
2005-12-28,125.739998,125.989998,125.50,125.75,30764300,103.032379
2005-12-27,126.959999,127.050003,125.379997,125.470001,44499500,102.802964
