Date,,Rt-1,Rt-2,Rt-7,Rt-30,Rt-91,Rt-365,,Return t+1 to t+7
4/10/2014,,-0.021229658,-0.010536147,0.029427345,0.017573828,-0.001786639,-0.163491602,,0.023333866
4/9/2014,,0.010693511,0.014807906,0.009522151,0.00129907,-0.023669938,-0.196895643,,-0.006435012
4/8/2014,,0.004114395,-0.006998614,0.016874614,0.012523853,-0.013194456,-0.189653014,,-0.000700703
4/7/2014,,-0.011113009,-0.023005593,0.014380202,0.016638248,-0.015202947,-0.192283049,,-0.005114479
4/4/2014,,-0.011892585,-0.013217049,-0.004893867,0.002812574,-0.023413843,-0.198894747,,-0.016374277
4/3/2014,,-0.001324464,0.002016584,-0.02170447,-0.009985872,-0.035142412,-0.214837645,,-0.0404574
4/2/2014,,0.003341048,0.009949855,-0.020918258,-0.025268077,-0.02683701,-0.205971276,,-0.011109728
4/1/2014,,0.006608807,0.014769868,-0.010358929,-0.014870151,-0.023495962,-0.207552435,,-0.015451129
3/31/2014,,0.00816106,0.013079079,-0.008484646,-0.008261344,-0.021608853,-0.196978442,,-0.018070838
3/28/2014,,0.004918018,0.002807343,0.003820348,-0.007860133,-0.013284607,-0.188817382,,-0.003864537
3/27/2014,,-0.002110676,-0.009328957,0.012624459,-0.002996263,-0.008312227,-0.18696781,,0.024282768
3/26/2014,,-0.007218281,-0.002483757,0.004691292,-0.004728268,-0.01549398,-0.189078486,,0.023642511
3/25/2014,,0.004734524,0.00059059,0.002816047,-0.017478039,-0.022712261,-0.204267529,,0.007722521
3/24/2014,,-0.004143934,-0.008030026,0.000438043,-0.012743515,-0.02016673,-0.195346818,,0.006684696
3/21/2014,,-0.003886092,0.001936399,-0.012708882,-0.021629737,-0.029639036,-0.207491864,,-0.000910273
3/20/2014,,0.005822491,0.000479455,-0.013783005,-0.018872006,-0.03932509,-0.202798632,,-0.013948008
3/19/2014,,-0.005343037,0.001769492,0.003316017,-0.014244331,-0.032346225,-0.203937185,,-0.008086297
3/18/2014,,0.007112529,0.01611552,-0.002294052,-0.019587368,-0.054617673,-0.206954483,,-0.003415887
3/17/2014,,0.009002991,0.006191022,0.009773377,-0.012474839,-0.044319589,-0.194307831,,-0.00182273
3/14/2014,,-0.002811969,-0.014088499,0.019307639,-0.014125049,-0.041529364,-0.183983819,,0.006712696
3/13/2014,,-0.011276531,-0.011009499,0.016070629,-0.017431519,-0.044229026,-0.192105604,,0.015353538
3/12/2014,,0.000267032,-0.004687868,0.002506475,-0.039592444,-0.052198861,-0.2047943,,-0.008500658
3/11/2014,,-0.0049549,-0.005486172,0.001867645,-0.041160333,-0.04063731,-0.202281549,,0.007272684
3/10/2014,,-0.000531272,-0.00010623,-0.017044995,-0.046115233,-0.04200257,-0.211024916,,-0.009223016
3/7/2014,,0.000425042,0.002712665,-0.01051939,-0.072067037,-0.045072847,-0.215811262,,-0.012742463
3/6/2014,,0.002287623,0.003193485,-0.012620413,-0.070386852,-0.055762736,-0.217196871,,-0.021990672
3/5/2014,,0.000905861,0.014863602,-0.015566573,-0.075079466,-0.049069979,-0.216269437,,-0.001967883
3/4/2014,,0.013957741,0.006900863,-0.014714861,-0.051411195,-0.048052823,-0.224282584,,-0.00759239
3/3/2014,,-0.007056877,-0.004530812,-0.000378449,-0.037453454,-0.029765112,-0.215635792,,0.008794711
2/28/2014,,0.002526066,0.007759849,-0.012966817,-0.04917935,-0.034221923,-0.22598518,,0.017820272
2/27/2014,,0.005233783,0.005287932,-0.009299378,-0.037001666,-0.031033123,-0.221482285,,0.016918424
2/26/2014,,5.41E-05,-0.000324522,-0.009949256,-0.037705021,-0.025799339,-0.228768123,,0.019475413
2/25/2014,,-0.000378671,0.005152819,-0.003251284,-0.032719481,-0.028177485,-0.235536318,,0.014107805
2/24/2014,,0.00553149,0.004390117,-0.004824771,-0.033098152,-0.028832857,-0.216704719,,0.009304868
2/21/2014,,-0.001141373,0.004742289,0.000706719,0.002227132,-0.022305392,-0.220898429,,0.002005774
2/20/2014,,0.005883662,-0.000760162,-0.005938357,0.000434381,-0.028436764,-0.215942236,,0.007238558
2/19/2014,,-0.006643824,-0.005449007,-0.005204193,0.003381856,-0.030589321,-0.197516938,,0.007122488
2/18/2014,,0.001194816,0.00669852,-0.012342518,-0.003261968,-0.034100289,-0.211627388,,0.007319717
2/14/2014,,0.005503703,0.010653201,-0.023867017,0.003471848,-0.027224246,-0.209249969,,0.000542832
2/13/2014,,0.005149498,0.005643999,-0.03068286,0.003599892,-0.026062081,-0.20466598,,0.008766976
2/12/2014,,0.000494501,0.011378896,-0.038634349,-0.002089314,-0.025889524,-0.200371197,,0.013347857
2/11/2014,,0.010884395,0.012719316,-0.036884705,0.011799567,-0.0333874,-0.201522575,,0.00825116
2/10/2014,,0.001834921,0.014154467,-0.032980547,0.022683962,-0.020470709,-0.190440543,,0.022068135
2/7/2014,,0.012319546,0.025420533,-0.008383217,0.021146225,-0.018805065,-0.194154557,,0.024624725
2/6/2014,,0.013100987,0.011845843,0.009811971,0.033247741,-0.01988644,-0.180511056,,0.025087834
2/5/2014,,-0.001255144,0.005725094,0.012368298,0.040225842,0.005938406,-0.168138044,,0.029517849
2/4/2014,,0.006980237,-0.015782172,0.020764773,0.041872812,-0.000409513,-0.179440247,,0.041851336
2/3/2014,,-0.02276241,-0.028638051,0.021807872,0.048853049,0.009742619,-0.16115586,,0.029345165
1/31/2014,,-0.005875642,0.004669018,0.003976854,0.035884521,-0.016532118,-0.194153013,,0.009673775
